"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
175937,147690,227496,164588,129986,175523,124.326,5.2423
112263,111283,193899,88555.8,75990.3,155318,20.5449,5.2493
101257,97503,186782,106482,82828.5,162905,6.99688,5.25195
88353,95521.6,183207,86253.7,82434.4,147855,8.97528,5.26205
142269,131961,213948,145215,120740,171424,46.8434,5.2703
105522,99265.4,190271,109309,96935.8,156014,30.254,5.30553
102800,104255,185935,91914.2,81815.8,154875,37.2792,5.30598
90400.9,89296.9,172658,77932.9,72091.6,149301,7.22131,5.34649
128392,112191,202963,156335,122911,173121,52.9899,5.35002
83644.4,77129.6,174821,83938.4,70995.9,156122,70.8224,5.35907
133437,132496,203932,120562,98412,162728,56.9206,5.41282
131269,127295,199383,119194,102263,165443,22.621,5.4208
92317.9,99861.3,182784,106153,99596.8,152073,39.9893,5.43222
87515.4,90013.2,171479,119582,108580,159926,45.9282,5.43694
126437,115309,196284,134957,108010,169217,42.0899,5.44328
115730,101594,199867,89855,74252.6,172878,113.493,5.4449
110391,107690,194238,99226.1,85877.9,157101,51.3915,5.45594
138807,119932,209906,164416,124223,175264,131.446,5.47079
133668,130255,204434,121139,105156,162744,65.8598,5.51678
76981.2,84300.8,163046,72559.7,69885.8,148004,11.5043,5.52063
143856,123106,211723,91886.7,65468.4,168204,20.2227,5.54079
132219,118986,205948,110695,89658.3,162608,15.9141,5.55625
89360.6,89864.1,183236,77268,70654.4,151235,33.261,5.5662
128232,125200,206387,97499.9,87801.6,155649,55.8291,5.5671
135522,122427,208238,145715,109286,173002,73.258,5.57211
84742,84901,174057,78033,72129.6,151446,1.32943,5.59018
131593,132829,206292,124185,106178,162264,22.6672,5.59454
89315.9,101608,180368,59282,61660.7,135580,42.0421,5.60263
101297,93128.3,183879,153284,130687,165361,60.8912,5.61685
114677,106132,192379,105263,83655.5,161190,27.3094,5.63263
125400,114351,203519,126752,111536,165881,95.4585,5.63964
